block_index,segment_index,start_sec,end_sec,duration_sec,note_event_count
1,1,12.878125,44.917708,32.039583,1460
1,2,46.180208,49.493750,3.313542,48
1,3,50.680208,53.938542,3.258333,36
1,4,55.256250,86.311458,31.055208,1540
1,5,95.501042,100.948958,5.447917,120
1,6,102.593750,133.209375,30.615625,1240
2,7,320.580208,353.621875,33.041667,1516
2,8,355.221875,362.090625,6.868750,84
2,9,365.327083,396.862500,31.535417,1548
2,10,398.609375,402.959375,4.350000,156
2,11,408.476042,412.489583,4.013542,104
2,12,413.832292,445.917708,32.085417,1376
3,13,638.631250,672.248958,33.617708,1576
3,14,673.633333,679.928125,6.294792,84
3,15,681.017708,711.650000,30.632292,1444
3,16,721.978125,725.886458,3.908333,104
3,17,727.918750,757.230208,29.311458,1200
4,18,929.180208,961.740625,32.560417,1444
4,19,962.910417,969.060417,6.150000,84
4,20,970.079167,1002.566667,32.487500,1584
4,21,1012.004167,1050.970833,38.966667,1504
5,22,1251.034375,1282.019792,30.985417,1404
5,23,1283.284375,1289.018750,5.734375,84
5,24,1290.362500,1321.630208,31.267708,1676
5,25,1323.777083,1329.772917,5.995833,252
5,26,1331.621875,1335.883333,4.261458,112
5,27,1337.232292,1369.160417,31.928125,1344
